replicate,pop,gen,disS,Fis,selModel
6,STL,17,0.6,-0.3243,incompHetPrefSel
6,STM,17,0.6,-0.3243,incompHetPrefSel
6,STH,17,0.6,-0.259,incompHetPrefSel
6,STL,18,0.6,-0.3425,incompHetPrefSel
6,STM,18,0.6,-0.3067,incompHetPrefSel
6,STH,18,0.6,-0.4,incompHetPrefSel
6,STL,19,0.6,-0.2727,incompHetPrefSel
6,STM,19,0.6,-0.2895,incompHetPrefSel
6,STH,19,0.6,-0.4412,incompHetPrefSel
6,STL,20,0.6,-0.1667,incompHetPrefSel
6,STM,20,0.6,-0.2727,incompHetPrefSel
6,STH,20,0.6,-0.3425,incompHetPrefSel
7,STL,1,0.6,-1,incompHetPrefSel
7,STM,1,0.6,-1,incompHetPrefSel
7,STH,1,0.6,-1,incompHetPrefSel
7,STL,2,0.6,-0.4678,incompHetPrefSel
7,STM,2,0.6,-0.4177,incompHetPrefSel
7,STH,2,0.6,-0.6066,incompHetPrefSel
7,STL,3,0.6,-0.259,incompHetPrefSel
7,STM,3,0.6,-0.2895,incompHetPrefSel
7,STH,3,0.6,-0.4,incompHetPrefSel
7,STL,4,0.6,-0.1557,incompHetPrefSel
7,STM,4,0.6,-0.1807,incompHetPrefSel
7,STH,4,0.6,-0.3425,incompHetPrefSel
7,STL,5,0.6,-0.2895,incompHetPrefSel
7,STM,5,0.6,-0.2895,incompHetPrefSel
7,STH,5,0.6,-0.2171,incompHetPrefSel
7,STL,6,0.6,-0.259,incompHetPrefSel
7,STM,6,0.6,-0.2727,incompHetPrefSel
7,STH,6,0.6,-0.3022,incompHetPrefSel
7,STL,7,0.6,-0.3243,incompHetPrefSel
7,STM,7,0.6,-0.2564,incompHetPrefSel
7,STH,7,0.6,-0.259,incompHetPrefSel
7,STL,8,0.6,-0.2895,incompHetPrefSel
7,STM,8,0.6,-0.2099,incompHetPrefSel
7,STH,8,0.6,-0.225,incompHetPrefSel
7,STL,9,0.6,-0.0812,incompHetPrefSel
7,STM,9,0.6,-0.1354,incompHetPrefSel
7,STH,9,0.6,-0.3243,incompHetPrefSel
7,STL,10,0.6,-0.3022,incompHetPrefSel
7,STM,10,0.6,-0.0389,incompHetPrefSel
