replicate,pop,gen,odomS,Fis,selModel
5,STH,18,0.2,-0.3611,incompODomSel
5,STL,19,0.2,-0.1529,incompODomSel
5,STM,19,0.2,0.0134,incompODomSel
5,STH,19,0.2,-0.0389,incompODomSel
5,STL,20,0.2,-0.1667,incompODomSel
5,STM,20,0.2,-0.1529,incompODomSel
5,STH,20,0.2,0.0616,incompODomSel
6,STL,1,0.2,-1,incompODomSel
6,STM,1,0.2,-1,incompODomSel
6,STH,1,0.2,-1,incompODomSel
6,STL,2,0.2,-0.5207,incompODomSel
6,STM,2,0.2,-0.5482,incompODomSel
6,STH,2,0.2,-0.5482,incompODomSel
6,STL,3,0.2,-0.4203,incompODomSel
6,STM,3,0.2,-0.2804,incompODomSel
6,STH,3,0.2,-0.3469,incompODomSel
6,STL,4,0.2,-0.2727,incompODomSel
6,STM,4,0.2,-0.3243,incompODomSel
6,STH,4,0.2,-0.3243,incompODomSel
6,STL,5,0.2,-0.3067,incompODomSel
6,STM,5,0.2,-0.2564,incompODomSel
6,STH,5,0.2,-0.2405,incompODomSel
6,STL,6,0.2,-0.1571,incompODomSel
6,STM,6,0.2,-0.225,incompODomSel
6,STH,6,0.2,-0.2564,incompODomSel
6,STL,7,0.2,-0.2895,incompODomSel
6,STM,7,0.2,-0.1667,incompODomSel
6,STH,7,0.2,-0.0316,incompODomSel
6,STL,8,0.2,-0.1667,incompODomSel
6,STM,8,0.2,-0.2099,incompODomSel
6,STH,8,0.2,-0.3067,incompODomSel
6,STL,9,0.2,-0.1951,incompODomSel
6,STM,9,0.2,-0.115,incompODomSel
6,STH,9,0.2,-0.3243,incompODomSel
6,STL,10,0.2,-0.2099,incompODomSel
6,STM,10,0.2,-0.1807,incompODomSel
6,STH,10,0.2,-0.3425,incompODomSel
6,STL,11,0.2,-0.1395,incompODomSel
6,STM,11,0.2,-0.2895,incompODomSel
6,STH,11,0.2,-0.2099,incompODomSel
6,STL,12,0.2,-0.2099,incompODomSel
6,STM,12,0.2,-0.2727,incompODomSel
6,STH,12,0.2,-0.2895,incompODomSel
6,STL,13,0.2,-0.2405,incompODomSel
6,STM,13,0.2,-0.2285,incompODomSel
6,STH,13,0.2,-0.259,incompODomSel
6,STL,14,0.2,-0.1807,incompODomSel
6,STM,14,0.2,-0.4203,incompODomSel
6,STH,14,0.2,-0.2379,incompODomSel
6,STL,15,0.2,-0.2564,incompODomSel
6,STM,15,0.2,-0.2895,incompODomSel
6,STH,15,0.2,-0.3243,incompODomSel
6,STL,16,0.2,-0.2099,incompODomSel
6,STM,16,0.2,-0.1354,incompODomSel
6,STH,16,0.2,-0.2895,incompODomSel
6,STL,17,0.2,-0.1667,incompODomSel
6,STM,17,0.2,-0.2895,incompODomSel
6,STH,17,0.2,-0.1667,incompODomSel
6,STL,18,0.2,-0.1529,incompODomSel
6,STM,18,0.2,-0.2099,incompODomSel
6,STH,18,0.2,-0.1951,incompODomSel
6,STL,19,0.2,-0.1529,incompODomSel
6,STM,19,0.2,-0.053,incompODomSel
6,STH,19,0.2,-0.2564,incompODomSel
6,STL,20,0.2,-0.1395,incompODomSel
6,STM,20,0.2,-0.1667,incompODomSel
6,STH,20,0.2,-0.1951,incompODomSel
7,STL,1,0.2,-1,incompODomSel
7,STM,1,0.2,-1,incompODomSel
7,STH,1,0.2,-1,incompODomSel
7,STL,2,0.2,-0.3494,incompODomSel
7,STM,2,0.2,-0.5766,incompODomSel
7,STH,2,0.2,-0.4197,incompODomSel
7,STL,3,0.2,-0.3611,incompODomSel
7,STM,3,0.2,-0.1589,incompODomSel
7,STH,3,0.2,-0.4425,incompODomSel
7,STL,4,0.2,-0.2895,incompODomSel
7,STM,4,0.2,-0.4177,incompODomSel
7,STH,4,0.2,-0.3803,incompODomSel
7,STL,5,0.2,-0.3067,incompODomSel
7,STM,5,0.2,-0.3803,incompODomSel
7,STH,5,0.2,-0.225,incompODomSel
7,STL,6,0.2,-0.2727,incompODomSel
7,STM,6,0.2,-0.3243,incompODomSel
7,STH,6,0.2,-0.2895,incompODomSel
7,STL,7,0.2,-0.2564,incompODomSel
7,STM,7,0.2,-0.4,incompODomSel
7,STH,7,0.2,-0.1951,incompODomSel
7,STL,8,0.2,-0.2564,incompODomSel
7,STM,8,0.2,-0.3067,incompODomSel
7,STH,8,0.2,-0.225,incompODomSel
7,STL,9,0.2,-0.2727,incompODomSel
7,STM,9,0.2,-0.1951,incompODomSel
7,STH,9,0.2,-0.2099,incompODomSel
7,STL,10,0.2,-0.1951,incompODomSel
7,STM,10,0.2,-0.1529,incompODomSel
7,STH,10,0.2,-0.1667,incompODomSel
7,STL,11,0.2,-0.1667,incompODomSel
7,STM,11,0.2,-0.225,incompODomSel
7,STH,11,0.2,-0.1529,incompODomSel
7,STL,12,0.2,-0.1951,incompODomSel
7,STM,12,0.2,-0.1951,incompODomSel
7,STH,12,0.2,-0.0652,incompODomSel
7,STL,13,0.2,-0.1807,incompODomSel
7,STM,13,0.2,-0.225,incompODomSel
7,STH,13,0.2,-0.0316,incompODomSel
7,STL,14,0.2,-0.1807,incompODomSel
7,STM,14,0.2,-0.2405,incompODomSel
7,STH,14,0.2,-0.0769,incompODomSel
7,STL,15,0.2,-0.1264,incompODomSel
7,STM,15,0.2,-0.2405,incompODomSel
7,STH,15,0.2,-0.1667,incompODomSel
7,STL,16,0.2,-0.0652,incompODomSel
7,STM,16,0.2,-0.2405,incompODomSel
7,STH,16,0.2,-0.1964,incompODomSel
7,STL,17,0.2,0.3,incompODomSel
7,STM,17,0.2,-0.1557,incompODomSel
7,STH,17,0.2,-0.2405,incompODomSel
7,STL,18,0.2,-0.0426,incompODomSel
7,STM,18,0.2,-0.2405,incompODomSel
7,STH,18,0.2,-0.2564,incompODomSel
7,STL,19,0.2,-0.0769,incompODomSel
7,STM,19,0.2,-0.1807,incompODomSel
7,STH,19,0.2,-0.2727,incompODomSel
7,STL,20,0.2,-0.0095,incompODomSel
7,STM,20,0.2,-0.225,incompODomSel
7,STH,20,0.2,-0.3067,incompODomSel
8,STL,1,0.2,-1,incompODomSel
8,STM,1,0.2,-1,incompODomSel
8,STH,1,0.2,-1,incompODomSel
8,STL,2,0.2,-0.4633,incompODomSel
8,STM,2,0.2,-0.3785,incompODomSel
8,STH,2,0.2,-0.3209,incompODomSel
8,STL,3,0.2,-0.4203,incompODomSel
8,STM,3,0.2,-0.3022,incompODomSel
8,STH,3,0.2,-0.6066,incompODomSel
8,STL,4,0.2,-0.3022,incompODomSel
8,STM,4,0.2,-0.3425,incompODomSel
