replicate,pop,gen,odomS,Fis,selModel
4,STH,20,0.6,-0.6897,incompODomSel
5,STL,1,0.6,-1,incompODomSel
5,STM,1,0.6,-1,incompODomSel
5,STH,1,0.6,-1,incompODomSel
5,STL,2,0.6,-0.7672,incompODomSel
5,STM,2,0.6,-0.5766,incompODomSel
5,STH,2,0.6,-0.5223,incompODomSel
5,STL,3,0.6,-0.6059,incompODomSel
5,STM,3,0.6,-0.5806,incompODomSel
5,STH,3,0.6,-0.569,incompODomSel
5,STL,4,0.6,-0.5021,incompODomSel
5,STM,4,0.6,-0.553,incompODomSel
5,STH,4,0.6,-0.4057,incompODomSel
5,STL,5,0.6,-0.6855,incompODomSel
5,STM,5,0.6,-0.5846,incompODomSel
5,STH,5,0.6,-0.5806,incompODomSel
5,STL,6,0.6,-0.5482,incompODomSel
5,STM,6,0.6,-0.5482,incompODomSel
5,STH,6,0.6,-0.6059,incompODomSel
5,STL,7,0.6,-0.6333,incompODomSel
5,STM,7,0.6,-0.5556,incompODomSel
5,STH,7,0.6,-0.5312,incompODomSel
5,STL,8,0.6,-0.6066,incompODomSel
5,STM,8,0.6,-0.5312,incompODomSel
5,STH,8,0.6,-0.5482,incompODomSel
5,STL,9,0.6,-0.6172,incompODomSel
5,STM,9,0.6,-0.435,incompODomSel
5,STH,9,0.6,-0.5766,incompODomSel
5,STL,10,0.6,-0.6333,incompODomSel
5,STM,10,0.6,-0.6508,incompODomSel
5,STH,10,0.6,-0.553,incompODomSel
5,STL,11,0.6,-0.6672,incompODomSel
5,STM,11,0.6,-0.5766,incompODomSel
5,STH,11,0.6,-0.47,incompODomSel
5,STL,12,0.6,-0.6172,incompODomSel
5,STM,12,0.6,-0.6508,incompODomSel
5,STH,12,0.6,-0.3803,incompODomSel
5,STL,13,0.6,-0.7327,incompODomSel
5,STM,13,0.6,-0.7971,incompODomSel
5,STH,13,0.6,-0.435,incompODomSel
5,STL,14,0.6,-0.7193,incompODomSel
5,STM,14,0.6,-0.5587,incompODomSel
5,STH,14,0.6,-0.5766,incompODomSel
5,STL,15,0.6,-0.6855,incompODomSel
5,STM,15,0.6,-0.553,incompODomSel
5,STH,15,0.6,-0.4083,incompODomSel
5,STL,16,0.6,-0.6508,incompODomSel
5,STM,16,0.6,-0.4425,incompODomSel
5,STH,16,0.6,-0.6361,incompODomSel
5,STL,17,0.6,-0.569,incompODomSel
5,STM,17,0.6,-0.5077,incompODomSel
5,STH,17,0.6,-0.4924,incompODomSel
5,STL,18,0.6,-0.6361,incompODomSel
5,STM,18,0.6,-0.4425,incompODomSel
5,STH,18,0.6,-0.5806,incompODomSel
5,STL,19,0.6,-0.6059,incompODomSel
5,STM,19,0.6,-0.4177,incompODomSel
5,STH,19,0.6,-0.5766,incompODomSel
5,STL,20,0.6,-0.4412,incompODomSel
5,STM,20,0.6,-0.5556,incompODomSel
5,STH,20,0.6,-0.5766,incompODomSel
6,STL,1,0.6,-1,incompODomSel
6,STM,1,0.6,-1,incompODomSel
6,STH,1,0.6,-1,incompODomSel
6,STL,2,0.6,-0.5021,incompODomSel
6,STM,2,0.6,-0.6172,incompODomSel
6,STH,2,0.6,-0.5537,incompODomSel
6,STL,3,0.6,-0.5806,incompODomSel
6,STM,3,0.6,-0.6994,incompODomSel
6,STH,3,0.6,-0.6361,incompODomSel
6,STL,4,0.6,-0.4388,incompODomSel
6,STM,4,0.6,-0.6066,incompODomSel
6,STH,4,0.6,-0.6066,incompODomSel
