replicate,pop,gen,V4,selModel
7,STL,9,-0.225,incompSexDistSel
7,STM,9,-0.0426,incompSexDistSel
7,STH,9,-0.1011,incompSexDistSel
7,STL,10,-0.2379,incompSexDistSel
7,STM,10,-0.0316,incompSexDistSel
7,STH,10,-0.1136,incompSexDistSel
7,STL,11,-0.1807,incompSexDistSel
7,STM,11,-0.0208,incompSexDistSel
7,STH,11,-0.0652,incompSexDistSel
7,STL,12,-0.1011,incompSexDistSel
7,STM,12,-0.0103,incompSexDistSel
7,STH,12,-0.0769,incompSexDistSel
7,STL,13,-0.0538,incompSexDistSel
7,STM,13,NaN,incompSexDistSel
7,STH,13,-0.0426,incompSexDistSel
7,STL,14,-0.0426,incompSexDistSel
7,STM,14,NaN,incompSexDistSel
7,STH,14,-0.0426,incompSexDistSel
7,STL,15,-0.0652,incompSexDistSel
7,STM,15,NaN,incompSexDistSel
7,STH,15,-0.0426,incompSexDistSel
7,STL,16,-0.0652,incompSexDistSel
7,STM,16,NaN,incompSexDistSel
7,STH,16,-0.0889,incompSexDistSel
7,STL,17,-0.0316,incompSexDistSel
7,STM,17,NaN,incompSexDistSel
7,STH,17,-0.0208,incompSexDistSel
7,STL,18,-0.0316,incompSexDistSel
7,STM,18,NaN,incompSexDistSel
7,STH,18,-0.0103,incompSexDistSel
7,STL,19,-0.0426,incompSexDistSel
7,STM,19,NaN,incompSexDistSel
7,STH,19,-0.0103,incompSexDistSel
7,STL,20,-0.0889,incompSexDistSel
7,STM,20,NaN,incompSexDistSel
7,STH,20,-0.0103,incompSexDistSel
8,STL,1,-1,incompSexDistSel
8,STM,1,-1,incompSexDistSel
8,STH,1,-1,incompSexDistSel
8,STL,2,-0.2379,incompSexDistSel
8,STM,2,-0.4678,incompSexDistSel
8,STH,2,-0.4924,incompSexDistSel
8,STL,3,-0.225,incompSexDistSel
8,STM,3,-0.2895,incompSexDistSel
8,STH,3,-0.5077,incompSexDistSel
8,STL,4,-0.3067,incompSexDistSel
8,STM,4,-0.225,incompSexDistSel
8,STH,4,-0.2171,incompSexDistSel
8,STL,5,-0.2099,incompSexDistSel
8,STM,5,-0.2405,incompSexDistSel
8,STH,5,-0.0946,incompSexDistSel
8,STL,6,-0.225,incompSexDistSel
8,STM,6,-0.1951,incompSexDistSel
8,STH,6,-0.1264,incompSexDistSel
8,STL,7,-0.1395,incompSexDistSel
8,STM,7,-0.1529,incompSexDistSel
8,STH,7,-0.1011,incompSexDistSel
8,STL,8,-0.2405,incompSexDistSel
8,STM,8,-0.0316,incompSexDistSel
8,STH,8,-0.0652,incompSexDistSel
8,STL,9,-0.1395,incompSexDistSel
8,STM,9,0.0375,incompSexDistSel
8,STH,9,-0.0538,incompSexDistSel
8,STL,10,-0.1529,incompSexDistSel
8,STM,10,-0.0426,incompSexDistSel
8,STH,10,-0.0103,incompSexDistSel
8,STL,11,-0.1136,incompSexDistSel
8,STM,11,-0.0652,incompSexDistSel
8,STH,11,-0.0426,incompSexDistSel
8,STL,12,-0.0769,incompSexDistSel
8,STM,12,-0.0652,incompSexDistSel
8,STH,12,-0.0208,incompSexDistSel
8,STL,13,-0.0426,incompSexDistSel
8,STM,13,-0.0316,incompSexDistSel
8,STH,13,-0.0316,incompSexDistSel
8,STL,14,-0.1136,incompSexDistSel
8,STM,14,-0.0426,incompSexDistSel
8,STH,14,-0.0208,incompSexDistSel
8,STL,15,-0.0889,incompSexDistSel
8,STM,15,-0.0769,incompSexDistSel
8,STH,15,-0.0769,incompSexDistSel
8,STL,16,-0.1011,incompSexDistSel
8,STM,16,-0.0426,incompSexDistSel
8,STH,16,-0.0652,incompSexDistSel
8,STL,17,-0.1136,incompSexDistSel
8,STM,17,-0.0208,incompSexDistSel
8,STH,17,-0.0769,incompSexDistSel
8,STL,18,-0.0652,incompSexDistSel
8,STM,18,-0.0103,incompSexDistSel
8,STH,18,0.1211,incompSexDistSel
8,STL,19,-0.0426,incompSexDistSel
8,STM,19,-0.0208,incompSexDistSel
8,STH,19,-0.1136,incompSexDistSel
8,STL,20,-0.0208,incompSexDistSel
8,STM,20,-0.0538,incompSexDistSel
8,STH,20,-0.0538,incompSexDistSel
9,STL,1,-1,incompSexDistSel
9,STM,1,-1,incompSexDistSel
9,STH,1,-1,incompSexDistSel
9,STL,2,-0.2285,incompSexDistSel
9,STM,2,-0.3538,incompSexDistSel
9,STH,2,-0.2405,incompSexDistSel
9,STL,3,-0.3425,incompSexDistSel
9,STM,3,-0.259,incompSexDistSel
9,STH,3,-0.4848,incompSexDistSel
9,STL,4,-0.2099,incompSexDistSel
9,STM,4,-0.225,incompSexDistSel
9,STH,4,-0.115,incompSexDistSel
9,STL,5,0.0907,incompSexDistSel
9,STM,5,-0.2564,incompSexDistSel
9,STH,5,-0.1807,incompSexDistSel
9,STL,6,-0.1395,incompSexDistSel
9,STM,6,-0.2564,incompSexDistSel
9,STH,6,-0.1011,incompSexDistSel
9,STL,7,-0.1529,incompSexDistSel
9,STM,7,-0.2564,incompSexDistSel
9,STH,7,-0.0652,incompSexDistSel
9,STL,8,-0.1807,incompSexDistSel
9,STM,8,-0.1807,incompSexDistSel
9,STH,8,-0.0769,incompSexDistSel
9,STL,9,-0.1264,incompSexDistSel
9,STM,9,-0.225,incompSexDistSel
9,STH,9,-0.0769,incompSexDistSel
9,STL,10,-0.0652,incompSexDistSel
9,STM,10,-0.1807,incompSexDistSel
9,STH,10,-0.0652,incompSexDistSel
9,STL,11,-0.1011,incompSexDistSel
9,STM,11,-0.1529,incompSexDistSel
9,STH,11,-0.0316,incompSexDistSel
9,STL,12,-0.0538,incompSexDistSel
9,STM,12,-0.1136,incompSexDistSel
9,STH,12,0,incompSexDistSel
9,STL,13,-0.0426,incompSexDistSel
9,STM,13,-0.0769,incompSexDistSel
9,STH,13,-0.0103,incompSexDistSel
9,STL,14,-0.0103,incompSexDistSel
9,STM,14,-0.1136,incompSexDistSel
9,STH,14,-0.0652,incompSexDistSel
9,STL,15,NaN,incompSexDistSel
9,STM,15,-0.1011,incompSexDistSel
9,STH,15,-0.0889,incompSexDistSel
9,STL,16,NaN,incompSexDistSel
9,STM,16,-0.0426,incompSexDistSel
9,STH,16,-0.0769,incompSexDistSel
9,STL,17,NaN,incompSexDistSel
9,STM,17,-0.0103,incompSexDistSel
9,STH,17,-0.0316,incompSexDistSel
9,STL,18,NaN,incompSexDistSel
9,STM,18,0,incompSexDistSel
9,STH,18,0,incompSexDistSel
9,STL,19,NaN,incompSexDistSel
9,STM,19,NaN,incompSexDistSel
9,STH,19,-0.0103,incompSexDistSel
9,STL,20,NaN,incompSexDistSel
9,STM,20,NaN,incompSexDistSel
