replicate,pop,gen,odomS,Fis,selModel
6,STM,17,0.91,-0.9216,incompODomSexDistSel
6,STH,17,0.91,-0.8785,incompODomSexDistSel
6,STL,18,0.91,-0.8785,incompODomSexDistSel
6,STM,18,0.91,-0.8491,incompODomSexDistSel
6,STH,18,0.91,-0.84,incompODomSexDistSel
6,STL,19,0.91,-0.8785,incompODomSexDistSel
6,STM,19,0.91,-0.9184,incompODomSexDistSel
6,STH,19,0.91,-0.8491,incompODomSexDistSel
6,STL,20,0.91,-0.96,incompODomSexDistSel
6,STM,20,0.91,-0.8029,incompODomSexDistSel
6,STH,20,0.91,-0.84,incompODomSexDistSel
7,STL,1,0.91,-1,incompODomSexDistSel
7,STM,1,0.91,-1,incompODomSexDistSel
7,STH,1,0.91,-1,incompODomSexDistSel
7,STL,2,0.91,-0.84,incompODomSexDistSel
7,STM,2,0.91,-0.7557,incompODomSexDistSel
7,STH,2,0.91,-0.9216,incompODomSexDistSel
7,STL,3,0.91,-0.6773,incompODomSexDistSel
7,STM,3,0.91,-0.7672,incompODomSexDistSel
7,STH,3,0.91,-0.8029,incompODomSexDistSel
7,STL,4,0.91,-0.96,incompODomSexDistSel
7,STM,4,0.91,-0.7971,incompODomSexDistSel
7,STH,4,0.91,-0.8846,incompODomSexDistSel
7,STL,5,0.91,-0.8029,incompODomSexDistSel
7,STM,5,0.91,-0.96,incompODomSexDistSel
7,STH,5,0.91,-0.8148,incompODomSexDistSel
7,STL,6,0.91,-0.8029,incompODomSexDistSel
7,STM,6,0.91,-0.9216,incompODomSexDistSel
7,STH,6,0.91,-0.8491,incompODomSexDistSel
7,STL,7,0.91,-0.84,incompODomSexDistSel
7,STM,7,0.91,-0.84,incompODomSexDistSel
7,STH,7,0.91,-0.9184,incompODomSexDistSel
7,STL,8,0.91,-0.84,incompODomSexDistSel
7,STM,8,0.91,-0.8785,incompODomSexDistSel
7,STH,8,0.91,-0.8846,incompODomSexDistSel
7,STL,9,0.91,-0.7971,incompODomSexDistSel
7,STM,9,0.91,-0.84,incompODomSexDistSel
7,STH,9,0.91,-0.7158,incompODomSexDistSel
7,STL,10,0.91,-0.8785,incompODomSexDistSel
7,STM,10,0.91,-0.6994,incompODomSexDistSel
7,STH,10,0.91,-0.8846,incompODomSexDistSel
7,STL,11,0.91,-0.8029,incompODomSexDistSel
7,STM,11,0.91,-0.96,incompODomSexDistSel
7,STH,11,0.91,-0.96,incompODomSexDistSel
7,STL,12,0.91,-0.7586,incompODomSexDistSel
7,STM,12,0.91,-0.7586,incompODomSexDistSel
7,STH,12,0.91,-0.8785,incompODomSexDistSel
7,STL,13,0.91,-0.7557,incompODomSexDistSel
7,STM,13,0.91,-0.96,incompODomSexDistSel
7,STH,13,0.91,-0.8846,incompODomSexDistSel
7,STL,14,0.91,-0.96,incompODomSexDistSel
7,STM,14,0.91,-0.837,incompODomSexDistSel
7,STH,14,0.91,-0.96,incompODomSexDistSel
7,STL,15,0.91,-0.9216,incompODomSexDistSel
7,STM,15,0.91,-0.96,incompODomSexDistSel
7,STH,15,0.91,-0.84,incompODomSexDistSel
7,STL,16,0.91,-0.7214,incompODomSexDistSel
7,STM,16,0.91,-0.8785,incompODomSexDistSel
7,STH,16,0.91,-0.84,incompODomSexDistSel
7,STL,17,0.91,-0.9216,incompODomSexDistSel
7,STM,17,0.91,-0.7971,incompODomSexDistSel
7,STH,17,0.91,-0.837,incompODomSexDistSel
7,STL,18,0.91,-0.8491,incompODomSexDistSel
7,STM,18,0.91,-0.8785,incompODomSexDistSel
7,STH,18,0.91,-0.8785,incompODomSexDistSel
7,STL,19,0.91,-0.8785,incompODomSexDistSel
7,STM,19,0.91,-0.9216,incompODomSexDistSel
7,STH,19,0.91,-0.7557,incompODomSexDistSel
7,STL,20,0.91,-0.84,incompODomSexDistSel
7,STM,20,0.91,-0.837,incompODomSexDistSel
7,STH,20,0.91,-0.837,incompODomSexDistSel
8,STL,1,0.91,-1,incompODomSexDistSel
8,STM,1,0.91,-1,incompODomSexDistSel
8,STH,1,0.91,-1,incompODomSexDistSel
8,STL,2,0.91,-0.8785,incompODomSexDistSel
8,STM,2,0.91,-0.6745,incompODomSexDistSel
8,STH,2,0.91,-0.8785,incompODomSexDistSel
8,STL,3,0.91,-0.7158,incompODomSexDistSel
8,STM,3,0.91,-0.84,incompODomSexDistSel
8,STH,3,0.91,-0.7586,incompODomSexDistSel
8,STL,4,0.91,-0.8846,incompODomSexDistSel
8,STM,4,0.91,-0.8785,incompODomSexDistSel
8,STH,4,0.91,-0.6039,incompODomSexDistSel
8,STL,5,0.91,-0.8785,incompODomSexDistSel
8,STM,5,0.91,-0.8785,incompODomSexDistSel
8,STH,5,0.91,-0.7158,incompODomSexDistSel
8,STL,6,0.91,-0.837,incompODomSexDistSel
8,STM,6,0.91,-0.8785,incompODomSexDistSel
8,STH,6,0.91,-0.9184,incompODomSexDistSel
8,STL,7,0.91,-0.9216,incompODomSexDistSel
8,STM,7,0.91,-0.9184,incompODomSexDistSel
8,STH,7,0.91,-0.84,incompODomSexDistSel
8,STL,8,0.91,-0.7672,incompODomSexDistSel
8,STM,8,0.91,-0.7971,incompODomSexDistSel
8,STH,8,0.91,-0.7971,incompODomSexDistSel
8,STL,9,0.91,-0.84,incompODomSexDistSel
8,STM,9,0.91,-0.84,incompODomSexDistSel
8,STH,9,0.91,-0.7214,incompODomSexDistSel
8,STL,10,0.91,-0.7971,incompODomSexDistSel
8,STM,10,0.91,-0.9184,incompODomSexDistSel
8,STH,10,0.91,-0.7971,incompODomSexDistSel
8,STL,11,0.91,-0.8785,incompODomSexDistSel
8,STM,11,0.91,-0.75,incompODomSexDistSel
8,STH,11,0.91,-0.96,incompODomSexDistSel
8,STL,12,0.91,-0.8785,incompODomSexDistSel
8,STM,12,0.91,-0.96,incompODomSexDistSel
8,STH,12,0.91,-0.84,incompODomSexDistSel
8,STL,13,0.91,-0.4776,incompODomSexDistSel
8,STM,13,0.91,-0.7586,incompODomSexDistSel
8,STH,13,0.91,-0.7971,incompODomSexDistSel
8,STL,14,0.91,-0.84,incompODomSexDistSel
8,STM,14,0.91,-0.8785,incompODomSexDistSel
8,STH,14,0.91,-0.7586,incompODomSexDistSel
8,STL,15,0.91,-0.837,incompODomSexDistSel
8,STM,15,0.91,-0.8785,incompODomSexDistSel
8,STH,15,0.91,-0.8785,incompODomSexDistSel
8,STL,16,0.91,-0.9216,incompODomSexDistSel
8,STM,16,0.91,-0.8785,incompODomSexDistSel
8,STH,16,0.91,-0.7971,incompODomSexDistSel
8,STL,17,0.91,-0.84,incompODomSexDistSel
8,STM,17,0.91,-0.837,incompODomSexDistSel
8,STH,17,0.91,-0.84,incompODomSexDistSel
8,STL,18,0.91,-0.7158,incompODomSexDistSel
8,STM,18,0.91,-0.8029,incompODomSexDistSel
8,STH,18,0.91,-0.8785,incompODomSexDistSel
8,STL,19,0.91,-0.7557,incompODomSexDistSel
8,STM,19,0.91,-0.9216,incompODomSexDistSel
8,STH,19,0.91,-0.7586,incompODomSexDistSel
8,STL,20,0.91,-0.9216,incompODomSexDistSel
8,STM,20,0.91,-0.535,incompODomSexDistSel
8,STH,20,0.91,-0.9216,incompODomSexDistSel
9,STL,1,0.91,-1,incompODomSexDistSel
9,STM,1,0.91,-1,incompODomSexDistSel
9,STH,1,0.91,-1,incompODomSexDistSel
9,STL,2,0.91,-0.7557,incompODomSexDistSel
9,STM,2,0.91,-0.8785,incompODomSexDistSel
9,STH,2,0.91,-0.8785,incompODomSexDistSel
9,STL,3,0.91,-0.84,incompODomSexDistSel
9,STM,3,0.91,-0.8846,incompODomSexDistSel
9,STH,3,0.91,-0.84,incompODomSexDistSel
9,STL,4,0.91,-0.7971,incompODomSexDistSel
9,STM,4,0.91,-0.9184,incompODomSexDistSel
9,STH,4,0.91,-0.7818,incompODomSexDistSel
9,STL,5,0.91,-0.7971,incompODomSexDistSel
9,STM,5,0.91,-0.9184,incompODomSexDistSel
9,STH,5,0.91,-0.8029,incompODomSexDistSel
9,STL,6,0.91,-0.84,incompODomSexDistSel
9,STM,6,0.91,-0.7971,incompODomSexDistSel
9,STH,6,0.91,-0.7971,incompODomSexDistSel
9,STL,7,0.91,-0.84,incompODomSexDistSel
9,STM,7,0.91,-0.8785,incompODomSexDistSel
9,STH,7,0.91,-0.96,incompODomSexDistSel
9,STL,8,0.91,-0.8029,incompODomSexDistSel
9,STM,8,0.91,-0.84,incompODomSexDistSel
9,STH,8,0.91,-0.7158,incompODomSexDistSel
