replicate,pop,gen,V4,selModel
7,STM,11,-0.1951,incompSel
7,STH,11,-0.1264,incompSel
7,STL,12,-0.0103,incompSel
7,STM,12,-0.1136,incompSel
7,STH,12,-0.0889,incompSel
7,STL,13,-0.0316,incompSel
7,STM,13,-0.1136,incompSel
7,STH,13,-0.0769,incompSel
7,STL,14,-0.0208,incompSel
7,STM,14,-0.1136,incompSel
7,STH,14,-0.1264,incompSel
7,STL,15,0,incompSel
7,STM,15,-0.1136,incompSel
7,STH,15,-0.1529,incompSel
7,STL,16,-0.0103,incompSel
7,STM,16,-0.1011,incompSel
7,STH,16,-0.1807,incompSel
7,STL,17,NaN,incompSel
7,STM,17,-0.0426,incompSel
7,STH,17,-0.1136,incompSel
7,STL,18,NaN,incompSel
7,STM,18,-0.0426,incompSel
7,STH,18,-0.1011,incompSel
7,STL,19,NaN,incompSel
7,STM,19,-0.0316,incompSel
7,STH,19,-0.1529,incompSel
7,STL,20,NaN,incompSel
7,STM,20,-0.0426,incompSel
7,STH,20,-0.1136,incompSel
8,STL,1,-1,incompSel
8,STM,1,-1,incompSel
8,STH,1,-1,incompSel
8,STL,2,-0.7327,incompSel
8,STM,2,-0.4,incompSel
8,STH,2,-0.3538,incompSel
8,STL,3,-0.3538,incompSel
8,STM,3,-0.2727,incompSel
8,STH,3,-0.3803,incompSel
8,STL,4,-0.3803,incompSel
8,STM,4,-0.1667,incompSel
8,STH,4,-0.3803,incompSel
8,STL,5,-0.1557,incompSel
8,STM,5,-0.1951,incompSel
8,STH,5,-0.225,incompSel
8,STL,6,-0.1667,incompSel
8,STM,6,-0.1807,incompSel
8,STH,6,-0.2099,incompSel
8,STL,7,-0.1136,incompSel
8,STM,7,-0.1951,incompSel
8,STH,7,-0.2099,incompSel
8,STL,8,-0.1136,incompSel
8,STM,8,-0.1951,incompSel
8,STH,8,-0.1807,incompSel
8,STL,9,-0.1264,incompSel
8,STM,9,0.0631,incompSel
8,STH,9,-0.1667,incompSel
8,STL,10,-0.0652,incompSel
8,STM,10,-0.1136,incompSel
8,STH,10,-0.1136,incompSel
8,STL,11,-0.0652,incompSel
8,STM,11,-0.0652,incompSel
8,STH,11,-0.0652,incompSel
8,STL,12,-0.1011,incompSel
8,STM,12,-0.0538,incompSel
8,STH,12,-0.0652,incompSel
8,STL,13,-0.0652,incompSel
8,STM,13,-0.0208,incompSel
8,STH,13,-0.1136,incompSel
8,STL,14,-0.0889,incompSel
8,STM,14,-0.0208,incompSel
8,STH,14,-0.1264,incompSel
8,STL,15,-0.1011,incompSel
8,STM,15,-0.0208,incompSel
8,STH,15,-0.0316,incompSel
8,STL,16,-0.1136,incompSel
8,STM,16,0,incompSel
8,STH,16,-0.0316,incompSel
8,STL,17,-0.1529,incompSel
8,STM,17,NaN,incompSel
8,STH,17,-0.0316,incompSel
8,STL,18,-0.1136,incompSel
8,STM,18,NaN,incompSel
8,STH,18,-0.0208,incompSel
8,STL,19,-0.1011,incompSel
8,STM,19,NaN,incompSel
8,STH,19,-0.0208,incompSel
8,STL,20,-0.0889,incompSel
8,STM,20,NaN,incompSel
8,STH,20,-0.0316,incompSel
9,STL,1,-1,incompSel
9,STM,1,-1,incompSel
9,STH,1,-1,incompSel
9,STL,2,-0.7327,incompSel
9,STM,2,-0.4,incompSel
9,STH,2,-0.3538,incompSel
9,STL,3,-0.3538,incompSel
9,STM,3,-0.2727,incompSel
9,STH,3,-0.3803,incompSel
9,STL,4,-0.3803,incompSel
9,STM,4,-0.1667,incompSel
9,STH,4,-0.3803,incompSel
9,STL,5,-0.1557,incompSel
9,STM,5,-0.1951,incompSel
9,STH,5,-0.225,incompSel
9,STL,6,-0.1667,incompSel
9,STM,6,-0.1807,incompSel
9,STH,6,-0.2099,incompSel
9,STL,7,-0.1136,incompSel
9,STM,7,-0.1951,incompSel
9,STH,7,-0.2099,incompSel
9,STL,8,-0.1136,incompSel
9,STM,8,-0.1951,incompSel
9,STH,8,-0.1807,incompSel
9,STL,9,-0.1264,incompSel
9,STM,9,0.0631,incompSel
9,STH,9,-0.1667,incompSel
9,STL,10,-0.0652,incompSel
9,STM,10,-0.1136,incompSel
9,STH,10,-0.1136,incompSel
9,STL,11,-0.0652,incompSel
9,STM,11,-0.0652,incompSel
9,STH,11,-0.0652,incompSel
9,STL,12,-0.1011,incompSel
9,STM,12,-0.0538,incompSel
9,STH,12,-0.0652,incompSel
9,STL,13,-0.0652,incompSel
9,STM,13,-0.0208,incompSel
9,STH,13,-0.1136,incompSel
9,STL,14,-0.0889,incompSel
9,STM,14,-0.0208,incompSel
9,STH,14,-0.1264,incompSel
9,STL,15,-0.1011,incompSel
9,STM,15,-0.0208,incompSel
9,STH,15,-0.0316,incompSel
9,STL,16,-0.1136,incompSel
9,STM,16,0,incompSel
9,STH,16,-0.0316,incompSel
9,STL,17,-0.1529,incompSel
9,STM,17,NaN,incompSel
9,STH,17,-0.0316,incompSel
9,STL,18,-0.1136,incompSel
9,STM,18,NaN,incompSel
9,STH,18,-0.0208,incompSel
9,STL,19,-0.1011,incompSel
9,STM,19,NaN,incompSel
9,STH,19,-0.0208,incompSel
9,STL,20,-0.0889,incompSel
9,STM,20,NaN,incompSel
9,STH,20,-0.0316,incompSel
10,STL,1,-1,incompSel
10,STM,1,-1,incompSel
10,STH,1,-1,incompSel
10,STL,2,-0.3785,incompSel
10,STM,2,-0.5482,incompSel
10,STH,2,-0.553,incompSel
10,STL,3,-0.3425,incompSel
10,STM,3,-0.1807,incompSel
10,STH,3,-0.3494,incompSel
10,STL,4,-0.225,incompSel
10,STM,4,-0.1951,incompSel
10,STH,4,-0.2727,incompSel
10,STL,5,0.0354,incompSel
10,STM,5,-0.0946,incompSel
10,STH,5,-0.1951,incompSel
10,STL,6,-0.225,incompSel
10,STM,6,-0.176,incompSel
10,STH,6,-0.1667,incompSel
10,STL,7,-0.2727,incompSel
10,STM,7,-0.2099,incompSel
10,STH,7,-0.1807,incompSel
10,STL,8,-0.1667,incompSel
