replicate,pop,gen,disS,H0,selModel
5,STH,12,0.2,0.44,incompDisSexDistSel
5,STL,13,0.2,0.26,incompDisSexDistSel
5,STM,13,0.2,0.42,incompDisSexDistSel
5,STH,13,0.2,0.38,incompDisSexDistSel
5,STL,14,0.2,0.1,incompDisSexDistSel
5,STM,14,0.2,0.36,incompDisSexDistSel
5,STH,14,0.2,0.32,incompDisSexDistSel
5,STL,15,0.2,0.18,incompDisSexDistSel
5,STM,15,0.2,0.18,incompDisSexDistSel
5,STH,15,0.2,0.2,incompDisSexDistSel
5,STL,16,0.2,0.14,incompDisSexDistSel
5,STM,16,0.2,0.08,incompDisSexDistSel
5,STH,16,0.2,0.06,incompDisSexDistSel
5,STL,17,0.2,0.08,incompDisSexDistSel
5,STM,17,0.2,0.02,incompDisSexDistSel
5,STH,17,0.2,0.02,incompDisSexDistSel
5,STL,18,0.2,0.08,incompDisSexDistSel
5,STM,18,0.2,0,incompDisSexDistSel
5,STH,18,0.2,0.04,incompDisSexDistSel
5,STL,19,0.2,0.06,incompDisSexDistSel
5,STM,19,0.2,0,incompDisSexDistSel
5,STH,19,0.2,0.04,incompDisSexDistSel
5,STL,20,0.2,0.08,incompDisSexDistSel
5,STM,20,0.2,0,incompDisSexDistSel
5,STH,20,0.2,0,incompDisSexDistSel
6,STL,1,0.2,1,incompDisSexDistSel
6,STM,1,0.2,1,incompDisSexDistSel
6,STH,1,0.2,1,incompDisSexDistSel
6,STL,2,0.2,0.68,incompDisSexDistSel
6,STM,2,0.2,0.66,incompDisSexDistSel
6,STH,2,0.2,0.56,incompDisSexDistSel
6,STL,3,0.2,0.44,incompDisSexDistSel
6,STM,3,0.2,0.5,incompDisSexDistSel
6,STH,3,0.2,0.44,incompDisSexDistSel
6,STL,4,0.2,0.44,incompDisSexDistSel
6,STM,4,0.2,0.34,incompDisSexDistSel
6,STH,4,0.2,0.48,incompDisSexDistSel
6,STL,5,0.2,0.28,incompDisSexDistSel
6,STM,5,0.2,0.28,incompDisSexDistSel
6,STH,5,0.2,0.48,incompDisSexDistSel
6,STL,6,0.2,0.22,incompDisSexDistSel
6,STM,6,0.2,0.18,incompDisSexDistSel
6,STH,6,0.2,0.5,incompDisSexDistSel
6,STL,7,0.2,0.32,incompDisSexDistSel
6,STM,7,0.2,0.18,incompDisSexDistSel
6,STH,7,0.2,0.46,incompDisSexDistSel
6,STL,8,0.2,0.3,incompDisSexDistSel
6,STM,8,0.2,0.16,incompDisSexDistSel
6,STH,8,0.2,0.58,incompDisSexDistSel
6,STL,9,0.2,0.32,incompDisSexDistSel
6,STM,9,0.2,0.26,incompDisSexDistSel
6,STH,9,0.2,0.58,incompDisSexDistSel
6,STL,10,0.2,0.36,incompDisSexDistSel
6,STM,10,0.2,0.28,incompDisSexDistSel
6,STH,10,0.2,0.56,incompDisSexDistSel
6,STL,11,0.2,0.34,incompDisSexDistSel
6,STM,11,0.2,0.28,incompDisSexDistSel
6,STH,11,0.2,0.42,incompDisSexDistSel
6,STL,12,0.2,0.34,incompDisSexDistSel
6,STM,12,0.2,0.18,incompDisSexDistSel
6,STH,12,0.2,0.44,incompDisSexDistSel
6,STL,13,0.2,0.46,incompDisSexDistSel
6,STM,13,0.2,0.18,incompDisSexDistSel
6,STH,13,0.2,0.4,incompDisSexDistSel
6,STL,14,0.2,0.34,incompDisSexDistSel
6,STM,14,0.2,0.08,incompDisSexDistSel
6,STH,14,0.2,0.32,incompDisSexDistSel
6,STL,15,0.2,0.3,incompDisSexDistSel
6,STM,15,0.2,0.12,incompDisSexDistSel
6,STH,15,0.2,0.22,incompDisSexDistSel
6,STL,16,0.2,0.26,incompDisSexDistSel
6,STM,16,0.2,0.2,incompDisSexDistSel
6,STH,16,0.2,0.16,incompDisSexDistSel
6,STL,17,0.2,0.24,incompDisSexDistSel
6,STM,17,0.2,0.12,incompDisSexDistSel
6,STH,17,0.2,0.16,incompDisSexDistSel
6,STL,18,0.2,0.3,incompDisSexDistSel
6,STM,18,0.2,0.12,incompDisSexDistSel
6,STH,18,0.2,0.08,incompDisSexDistSel
6,STL,19,0.2,0.16,incompDisSexDistSel
6,STM,19,0.2,0.18,incompDisSexDistSel
6,STH,19,0.2,0.14,incompDisSexDistSel
6,STL,20,0.2,0.08,incompDisSexDistSel
6,STM,20,0.2,0.14,incompDisSexDistSel
6,STH,20,0.2,0.18,incompDisSexDistSel
7,STL,1,0.2,1,incompDisSexDistSel
7,STM,1,0.2,1,incompDisSexDistSel
7,STH,1,0.2,1,incompDisSexDistSel
7,STL,2,0.2,0.7,incompDisSexDistSel
7,STM,2,0.2,0.6,incompDisSexDistSel
7,STH,2,0.2,0.7,incompDisSexDistSel
7,STL,3,0.2,0.54,incompDisSexDistSel
7,STM,3,0.2,0.46,incompDisSexDistSel
7,STH,3,0.2,0.58,incompDisSexDistSel
7,STL,4,0.2,0.44,incompDisSexDistSel
7,STM,4,0.2,0.4,incompDisSexDistSel
7,STH,4,0.2,0.5,incompDisSexDistSel
7,STL,5,0.2,0.4,incompDisSexDistSel
7,STM,5,0.2,0.42,incompDisSexDistSel
7,STH,5,0.2,0.52,incompDisSexDistSel
7,STL,6,0.2,0.36,incompDisSexDistSel
7,STM,6,0.2,0.44,incompDisSexDistSel
7,STH,6,0.2,0.44,incompDisSexDistSel
7,STL,7,0.2,0.18,incompDisSexDistSel
7,STM,7,0.2,0.46,incompDisSexDistSel
7,STH,7,0.2,0.38,incompDisSexDistSel
7,STL,8,0.2,0.32,incompDisSexDistSel
7,STM,8,0.2,0.44,incompDisSexDistSel
7,STH,8,0.2,0.32,incompDisSexDistSel
7,STL,9,0.2,0.26,incompDisSexDistSel
7,STM,9,0.2,0.44,incompDisSexDistSel
7,STH,9,0.2,0.26,incompDisSexDistSel
7,STL,10,0.2,0.18,incompDisSexDistSel
7,STM,10,0.2,0.44,incompDisSexDistSel
7,STH,10,0.2,0.2,incompDisSexDistSel
7,STL,11,0.2,0.14,incompDisSexDistSel
7,STM,11,0.2,0.24,incompDisSexDistSel
7,STH,11,0.2,0.14,incompDisSexDistSel
7,STL,12,0.2,0.16,incompDisSexDistSel
7,STM,12,0.2,0.1,incompDisSexDistSel
7,STH,12,0.2,0.06,incompDisSexDistSel
7,STL,13,0.2,0.06,incompDisSexDistSel
7,STM,13,0.2,0.1,incompDisSexDistSel
7,STH,13,0.2,0.04,incompDisSexDistSel
7,STL,14,0.2,0.08,incompDisSexDistSel
7,STM,14,0.2,0.02,incompDisSexDistSel
7,STH,14,0.2,0.02,incompDisSexDistSel
7,STL,15,0.2,0.2,incompDisSexDistSel
7,STM,15,0.2,0.04,incompDisSexDistSel
7,STH,15,0.2,0,incompDisSexDistSel
7,STL,16,0.2,0.34,incompDisSexDistSel
7,STM,16,0.2,0.02,incompDisSexDistSel
7,STH,16,0.2,0,incompDisSexDistSel
7,STL,17,0.2,0.26,incompDisSexDistSel
7,STM,17,0.2,0,incompDisSexDistSel
7,STH,17,0.2,0,incompDisSexDistSel
7,STL,18,0.2,0.2,incompDisSexDistSel
7,STM,18,0.2,0,incompDisSexDistSel
7,STH,18,0.2,0,incompDisSexDistSel
7,STL,19,0.2,0.22,incompDisSexDistSel
7,STM,19,0.2,0,incompDisSexDistSel
7,STH,19,0.2,0,incompDisSexDistSel
7,STL,20,0.2,0.04,incompDisSexDistSel
7,STM,20,0.2,0,incompDisSexDistSel
7,STH,20,0.2,0,incompDisSexDistSel
8,STL,1,0.2,1,incompDisSexDistSel
8,STM,1,0.2,1,incompDisSexDistSel
8,STH,1,0.2,1,incompDisSexDistSel
8,STL,2,0.2,0.7,incompDisSexDistSel
8,STM,2,0.2,0.58,incompDisSexDistSel
8,STH,2,0.2,0.7,incompDisSexDistSel
8,STL,3,0.2,0.48,incompDisSexDistSel
8,STM,3,0.2,0.38,incompDisSexDistSel
8,STH,3,0.2,0.52,incompDisSexDistSel
8,STL,4,0.2,0.44,incompDisSexDistSel
8,STM,4,0.2,0.24,incompDisSexDistSel
8,STH,4,0.2,0.48,incompDisSexDistSel
8,STL,5,0.2,0.5,incompDisSexDistSel
8,STM,5,0.2,0.38,incompDisSexDistSel
8,STH,5,0.2,0.46,incompDisSexDistSel
8,STL,6,0.2,0.4,incompDisSexDistSel
8,STM,6,0.2,0.22,incompDisSexDistSel
8,STH,6,0.2,0.28,incompDisSexDistSel
8,STL,7,0.2,0.4,incompDisSexDistSel
8,STM,7,0.2,0.16,incompDisSexDistSel
8,STH,7,0.2,0.28,incompDisSexDistSel
8,STL,8,0.2,0.38,incompDisSexDistSel
8,STM,8,0.2,0.24,incompDisSexDistSel
8,STH,8,0.2,0.26,incompDisSexDistSel
8,STL,9,0.2,0.28,incompDisSexDistSel
8,STM,9,0.2,0.2,incompDisSexDistSel
8,STH,9,0.2,0.22,incompDisSexDistSel
8,STL,10,0.2,0.42,incompDisSexDistSel
8,STM,10,0.2,0.34,incompDisSexDistSel
8,STH,10,0.2,0.3,incompDisSexDistSel
8,STL,11,0.2,0.44,incompDisSexDistSel
8,STM,11,0.2,0.24,incompDisSexDistSel
8,STH,11,0.2,0.32,incompDisSexDistSel
8,STL,12,0.2,0.24,incompDisSexDistSel
8,STM,12,0.2,0.22,incompDisSexDistSel
8,STH,12,0.2,0.28,incompDisSexDistSel
8,STL,13,0.2,0.32,incompDisSexDistSel
8,STM,13,0.2,0.24,incompDisSexDistSel
8,STH,13,0.2,0.38,incompDisSexDistSel
8,STL,14,0.2,0.4,incompDisSexDistSel
8,STM,14,0.2,0.26,incompDisSexDistSel
