replicate,pop,gen,odomS,H0,selModel
6,STL,12,0.2,0.36,incompODomSel
6,STM,12,0.2,0.44,incompODomSel
6,STH,12,0.2,0.46,incompODomSel
6,STL,13,0.2,0.4,incompODomSel
6,STM,13,0.2,0.52,incompODomSel
6,STH,13,0.2,0.5,incompODomSel
6,STL,14,0.2,0.32,incompODomSel
6,STM,14,0.2,0.6,incompODomSel
6,STH,14,0.2,0.48,incompODomSel
6,STL,15,0.2,0.42,incompODomSel
6,STM,15,0.2,0.46,incompODomSel
6,STH,15,0.2,0.5,incompODomSel
6,STL,16,0.2,0.36,incompODomSel
6,STM,16,0.2,0.38,incompODomSel
6,STH,16,0.2,0.46,incompODomSel
6,STL,17,0.2,0.3,incompODomSel
6,STM,17,0.2,0.46,incompODomSel
6,STH,17,0.2,0.3,incompODomSel
6,STL,18,0.2,0.28,incompODomSel
6,STM,18,0.2,0.36,incompODomSel
6,STH,18,0.2,0.34,incompODomSel
6,STL,19,0.2,0.28,incompODomSel
6,STM,19,0.2,0.3,incompODomSel
6,STH,19,0.2,0.42,incompODomSel
6,STL,20,0.2,0.26,incompODomSel
6,STM,20,0.2,0.3,incompODomSel
6,STH,20,0.2,0.34,incompODomSel
7,STL,1,0.2,1,incompODomSel
7,STM,1,0.2,1,incompODomSel
7,STH,1,0.2,1,incompODomSel
7,STL,2,0.2,0.64,incompODomSel
7,STM,2,0.2,0.76,incompODomSel
7,STH,2,0.2,0.7,incompODomSel
7,STL,3,0.2,0.54,incompODomSel
7,STM,3,0.2,0.5,incompODomSel
7,STH,3,0.2,0.66,incompODomSel
7,STL,4,0.2,0.46,incompODomSel
7,STM,4,0.2,0.64,incompODomSel
7,STH,4,0.2,0.56,incompODomSel
7,STL,5,0.2,0.48,incompODomSel
7,STM,5,0.2,0.56,incompODomSel
7,STH,5,0.2,0.38,incompODomSel
7,STL,6,0.2,0.44,incompODomSel
7,STM,6,0.2,0.5,incompODomSel
7,STH,6,0.2,0.46,incompODomSel
7,STL,7,0.2,0.42,incompODomSel
7,STM,7,0.2,0.58,incompODomSel
7,STH,7,0.2,0.34,incompODomSel
7,STL,8,0.2,0.42,incompODomSel
7,STM,8,0.2,0.48,incompODomSel
7,STH,8,0.2,0.38,incompODomSel
7,STL,9,0.2,0.44,incompODomSel
7,STM,9,0.2,0.34,incompODomSel
7,STH,9,0.2,0.36,incompODomSel
7,STL,10,0.2,0.34,incompODomSel
7,STM,10,0.2,0.28,incompODomSel
7,STH,10,0.2,0.3,incompODomSel
7,STL,11,0.2,0.3,incompODomSel
7,STM,11,0.2,0.38,incompODomSel
7,STH,11,0.2,0.28,incompODomSel
7,STL,12,0.2,0.34,incompODomSel
7,STM,12,0.2,0.34,incompODomSel
7,STH,12,0.2,0.14,incompODomSel
7,STL,13,0.2,0.32,incompODomSel
7,STM,13,0.2,0.38,incompODomSel
7,STH,13,0.2,0.08,incompODomSel
7,STL,14,0.2,0.32,incompODomSel
7,STM,14,0.2,0.4,incompODomSel
7,STH,14,0.2,0.16,incompODomSel
7,STL,15,0.2,0.24,incompODomSel
7,STM,15,0.2,0.4,incompODomSel
7,STH,15,0.2,0.3,incompODomSel
7,STL,16,0.2,0.14,incompODomSel
7,STM,16,0.2,0.4,incompODomSel
7,STH,16,0.2,0.44,incompODomSel
7,STL,17,0.2,0.08,incompODomSel
7,STM,17,0.2,0.4,incompODomSel
7,STH,17,0.2,0.4,incompODomSel
7,STL,18,0.2,0.1,incompODomSel
7,STM,18,0.2,0.4,incompODomSel
7,STH,18,0.2,0.42,incompODomSel
7,STL,19,0.2,0.16,incompODomSel
7,STM,19,0.2,0.32,incompODomSel
