replicate,pop,gen,disS,H0,selModel
5,STM,16,0.4,0.06,incompHetPrefAltLocSel
5,STH,16,0.4,0.12,incompHetPrefAltLocSel
5,STL,17,0.4,0.06,incompHetPrefAltLocSel
5,STM,17,0.4,0.06,incompHetPrefAltLocSel
5,STH,17,0.4,0.18,incompHetPrefAltLocSel
5,STL,18,0.4,0.06,incompHetPrefAltLocSel
5,STM,18,0.4,0.04,incompHetPrefAltLocSel
5,STH,18,0.4,0.16,incompHetPrefAltLocSel
5,STL,19,0.4,0.06,incompHetPrefAltLocSel
5,STM,19,0.4,0.06,incompHetPrefAltLocSel
5,STH,19,0.4,0.2,incompHetPrefAltLocSel
5,STL,20,0.4,0,incompHetPrefAltLocSel
5,STM,20,0.4,0,incompHetPrefAltLocSel
5,STH,20,0.4,0.18,incompHetPrefAltLocSel
6,STL,1,0.4,1,incompHetPrefAltLocSel
6,STM,1,0.4,1,incompHetPrefAltLocSel
6,STH,1,0.4,1,incompHetPrefAltLocSel
6,STL,2,0.4,0.6,incompHetPrefAltLocSel
6,STM,2,0.4,0.64,incompHetPrefAltLocSel
6,STH,2,0.4,0.68,incompHetPrefAltLocSel
6,STL,3,0.4,0.5,incompHetPrefAltLocSel
6,STM,3,0.4,0.5,incompHetPrefAltLocSel
6,STH,3,0.4,0.52,incompHetPrefAltLocSel
6,STL,4,0.4,0.48,incompHetPrefAltLocSel
6,STM,4,0.4,0.46,incompHetPrefAltLocSel
6,STH,4,0.4,0.52,incompHetPrefAltLocSel
6,STL,5,0.4,0.38,incompHetPrefAltLocSel
6,STM,5,0.4,0.46,incompHetPrefAltLocSel
6,STH,5,0.4,0.48,incompHetPrefAltLocSel
6,STL,6,0.4,0.26,incompHetPrefAltLocSel
6,STM,6,0.4,0.42,incompHetPrefAltLocSel
6,STH,6,0.4,0.38,incompHetPrefAltLocSel
6,STL,7,0.4,0.26,incompHetPrefAltLocSel
6,STM,7,0.4,0.3,incompHetPrefAltLocSel
6,STH,7,0.4,0.38,incompHetPrefAltLocSel
6,STL,8,0.4,0.24,incompHetPrefAltLocSel
6,STM,8,0.4,0.22,incompHetPrefAltLocSel
6,STH,8,0.4,0.34,incompHetPrefAltLocSel
6,STL,9,0.4,0.26,incompHetPrefAltLocSel
6,STM,9,0.4,0.18,incompHetPrefAltLocSel
6,STH,9,0.4,0.3,incompHetPrefAltLocSel
6,STL,10,0.4,0.14,incompHetPrefAltLocSel
6,STM,10,0.4,0.16,incompHetPrefAltLocSel
6,STH,10,0.4,0.42,incompHetPrefAltLocSel
6,STL,11,0.4,0.14,incompHetPrefAltLocSel
6,STM,11,0.4,0.2,incompHetPrefAltLocSel
6,STH,11,0.4,0.42,incompHetPrefAltLocSel
6,STL,12,0.4,0.06,incompHetPrefAltLocSel
6,STM,12,0.4,0.2,incompHetPrefAltLocSel
6,STH,12,0.4,0.4,incompHetPrefAltLocSel
6,STL,13,0.4,0.06,incompHetPrefAltLocSel
6,STM,13,0.4,0.2,incompHetPrefAltLocSel
6,STH,13,0.4,0.36,incompHetPrefAltLocSel
6,STL,14,0.4,0.08,incompHetPrefAltLocSel
6,STM,14,0.4,0.2,incompHetPrefAltLocSel
6,STH,14,0.4,0.2,incompHetPrefAltLocSel
6,STL,15,0.4,0.12,incompHetPrefAltLocSel
6,STM,15,0.4,0.24,incompHetPrefAltLocSel
6,STH,15,0.4,0.18,incompHetPrefAltLocSel
6,STL,16,0.4,0.16,incompHetPrefAltLocSel
6,STM,16,0.4,0.2,incompHetPrefAltLocSel
6,STH,16,0.4,0.24,incompHetPrefAltLocSel
6,STL,17,0.4,0.24,incompHetPrefAltLocSel
6,STM,17,0.4,0.2,incompHetPrefAltLocSel
6,STH,17,0.4,0.12,incompHetPrefAltLocSel
6,STL,18,0.4,0.1,incompHetPrefAltLocSel
6,STM,18,0.4,0.16,incompHetPrefAltLocSel
6,STH,18,0.4,0.1,incompHetPrefAltLocSel
6,STL,19,0.4,0.06,incompHetPrefAltLocSel
6,STM,19,0.4,0.2,incompHetPrefAltLocSel
6,STH,19,0.4,0.1,incompHetPrefAltLocSel
6,STL,20,0.4,0.02,incompHetPrefAltLocSel
